track_name,track_id,artist(s)_name,artist_count,released_year,released_month,released_day,popularity,acousticness_%,danceability_%,duration_ms,energy_%,instrumentalness_%,key,liveness_%,loudness,mode,speechiness_%,tempo(bpm),time_signature,valence_%
LA PEOPLE,1RzjXhgnzqb3dMa5852itx,Peso Pluma & Tito Double P,2,2023,6,29,88,46.400000000000006,73.6,153032,86.2,0.0,7,9.04,-4.136,0,3.3300000000000005,145.001,3,0.799
EL AMOR DE SU VIDA,0O3U5iwTbiXCREMkvotJuN,Grupo Frontera & Grupo Firme,2,2023,8,25,90,6.0,61.6,165848,83.39999999999999,0.0,9,33.800000000000004,-3.069,1,6.64,151.701,4,0.746
Ain’t That Some,2YVlDlk2zRceefo6XlC6DX,Morgan Wallen,1,2023,3,3,80,0.232,64.1,158004,80.30000000000001,0.000386,6,36.1,-5.781,0,2.86,121.086,4,0.671
Bent,6ulEymrJ2Azx1uo3YHSE5w,41 & Kyle Richh & Jenn Carter & TaTa,4,2023,8,4,80,37.9,86.2,170268,62.1,0.0,2,41.5,-7.423,1,28.3,124.081,4,0.239
Man Made A Bar (feat. Eric Church),73zawW1ttszLRgT9By826D,Morgan Wallen & Eric Church,2,2023,3,3,79,12.3,49.8,191231,76.4,0.00307,4,11.9,-5.006,1,3.09,147.984,4,0.489
Welcome To New York (Taylor's Version),1hR8BSuEqPCCZfv93zzzz9,Taylor Swift,1,2023,10,26,84,0.961,76.1,212600,60.7,0.00224,7,36.7,-4.83,1,3.12,116.98,4,0.674
AMARGURA,505v13epFXodT9fVAJ6h8k,KAROL G,1,2023,2,24,90,18.3,92.0,170480,69.6,0.0,6,14.9,-3.356,0,7.42,106.966,4,0.545
La Víctima,5XVdHRf4CAJ2Jm0uMIy5qY,Xavi,1,2023,8,17,88,15.2,77.8,156346,83.5,0.0,11,10.9,-3.598,0,7.670000000000001,140.082,4,0.666
LUNA,3RA55zrRkyPK8Fd86hrMy8,Peso Pluma & Junior H,2,2023,6,29,84,32.800000000000004,74.7,163552,62.9,0.409,9,15.4,-8.509,0,3.63,127.819,3,0.793
East Side of Sorrow,00syWkRGIVQvYsg2OwfBUw,Zach Bryan,1,2023,8,25,79,23.6,40.8,209320,60.7,0.00802,10,9.72,-7.463,1,3.91,144.136,4,0.169
